iter	Passed	Remaining
886	8949	1140
887	8959	1130
888	8969	1119
889	8980	1109
890	8990	1099
891	9000	1089
892	9010	1079
893	9020	1069
894	9030	1059
895	9040	1049
896	9050	1039
897	9060	1029
898	9070	1019
899	9080	1008
900	9090	998
901	9100	988
902	9110	978
903	9120	968
904	9130	958
905	9140	948
906	9150	938
907	9160	928
908	9171	918
909	9180	907
910	9191	897
911	9200	887
912	9210	877
913	9221	867
914	9231	857
915	9240	847
916	9251	837
917	9261	827
918	9270	817
919	9280	807
920	9291	796
921	9301	786
922	9311	776
923	9320	766
924	9330	756
925	9341	746
926	9351	736
927	9361	726
928	9372	716
929	9385	706
930	9395	696
931	9405	686
932	9415	676
933	9425	666
934	9435	655
935	9446	645
936	9456	635
937	9466	625
938	9476	615
939	9486	605
940	9496	595
941	9505	585
942	9515	575
943	9525	565
944	9535	554
945	9545	544
946	9555	534
947	9565	524
948	9575	514
949	9585	504
950	9595	494
951	9605	484
952	9616	474
953	9625	464
954	9635	454
955	9646	443
956	9656	433
957	9666	423
958	9676	413
959	9686	403
960	9695	393
961	9705	383
962	9715	373
963	9725	363
964	9735	353
965	9745	343
966	9755	332
967	9765	322
968	9775	312
969	9785	302
970	9795	292
971	9806	282
972	9815	272
973	9825	262
974	9835	252
975	9846	242
976	9856	232
977	9866	221
978	9876	211
979	9886	201
980	9896	191
981	9906	181
982	9916	171
983	9926	161
984	9936	151
985	9946	141
986	9956	131
987	9966	121
988	9976	110
989	9986	100
990	9996	90
991	10006	80
992	10016	70
993	10026	60
994	10036	50
995	10047	40
996	10057	30
997	10067	20
998	10077	10
999	10087	0
